tool				Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0
run set				jip-e	jip-e	jip-e			jip-i2	jip-i2	jip-i2			jip-i1	jip-i1	jip-i1			jip	jip	jip
../sv-benchmarks/java/				status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	FALSE		1	FALSE	0.018999061	37.003264		2	TRUE	0.013140492	18.690048		2	TRUE	0.010771904	18.69824		1	FALSE	0.018985653	37.003264
jayhorn-recursive/Addition.yml	TRUE		3	TRUE	0.01958062	18.685952		3	FALSE	0.019520937	37.003264		3	FALSE	0.019187692	37.00736		2	FALSE	0.019531506	37.003264
jayhorn-recursive/InfiniteLoop.yml	FALSE		4	FALSE	0.01959789	36.999168		4	FALSE	0.019567324	37.003264		4	FALSE	0.019598869	37.003264		3	FALSE	0.019532804	37.003264
jayhorn-recursive/SatAckermann01.yml	TRUE		5	FALSE	0.020771138	36.9664		5	FALSE	0.020055982	37.056512		5	FALSE	0.019883448	37.00736		4	FALSE	0.019541456	37.08928
jayhorn-recursive/SatAckermann02.yml	TRUE		6	FALSE	0.020814857	36.999168		6	FALSE	0.020124761	37.003264		6	FALSE	0.02033452	36.999168		5	FALSE	0.019778162	36.999168
jayhorn-recursive/SatAckermann03.yml	TRUE		7	FALSE	0.021195619	37.019648		7	FALSE	0.020593418	37.044224		7	FALSE	0.020886079	37.265408		6	FALSE	0.021417205	37.654528
jayhorn-recursive/SatAddition01.yml	TRUE		8	FALSE	0.021756804	37.658624		8	FALSE	0.021356813	37.003264		9	TRUE	0.021434737	18.681856		6	unknown	0.02181223	37.421056
jayhorn-recursive/SatEvenOdd01.yml	TRUE		8	unknown	0.022164374	37.347328		9	FALSE	0.022492816	37.056512		10	FALSE	0.021468923	37.134336		7	FALSE	0.023192551	37.187584
jayhorn-recursive/SatFibonacci01.yml	TRUE		9	FALSE	0.023153622	37.265408		10	FALSE	0.022918708	37.269504		11	FALSE	0.021713344	37.003264		8	FALSE	0.024863985	37.523456
jayhorn-recursive/SatFibonacci02.yml	TRUE		10	FALSE	0.023581836	37.126144		11	FALSE	0.023628701	37.306368		12	FALSE	0.022010822	37.134336		9	FALSE	0.024935316	37.429248
jayhorn-recursive/SatFibonacci03.yml	TRUE		11	FALSE	0.026193941	37.13024		12	FALSE	0.023631373	37.146624		13	FALSE	0.022447637	36.999168		10	FALSE	0.02956739	37.527552
jayhorn-recursive/SatGcd.yml	TRUE		12	FALSE	0.026694057	37.523456		13	FALSE	0.023885197	37.13024		14	FALSE	0.022950391	37.003264		11	FALSE	0.030495166	38.48192
jayhorn-recursive/SatHanoi01.yml	TRUE		13	FALSE	0.028224212	37.126144		14	FALSE	0.024921685	37.35552		15	FALSE	0.023657502	37.224448		12	FALSE	0.061288819	38.83008
jayhorn-recursive/SatMccarthy91.yml	TRUE		14	FALSE	0.052579649	43.098112		16	TRUE	0.025315535	18.681856		16	FALSE	0.024683416	37.39648		13	FALSE	0.083333983	39.620608
jayhorn-recursive/SatPrimes01.yml	TRUE		15	FALSE	0.064002993	38.739968		17	FALSE	0.026793423	38.043648		17	FALSE	0.025109418	37.531648		14	FALSE	0.108496079	63.46752
jayhorn-recursive/UnsatAckermann01.yml	FALSE		16	FALSE	0.075109187	40.148992		18	FALSE	0.027581762	37.523456		18	FALSE	0.028192446	38.006784		15	FALSE	0.28166426	52.174848
jayhorn-recursive/UnsatAddition01.yml	FALSE		17	FALSE	0.08235663	39.387136		19	FALSE	0.030399641	37.920768		19	FALSE	0.029856537	37.912576		16	FALSE	0.365149975	120.856576
jayhorn-recursive/UnsatAddition02.yml	FALSE		18	FALSE	0.084506277	46.698496		20	FALSE	0.034012469	39.030784		20	FALSE	0.033635449	38.965248		16	OUT OF MEMORY (true)	12.34092368	4999.999488
