tool		Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0
run set		jip-e.SV-COMP23_assert_oox.ReachSafety-Java	jip-e.SV-COMP23_assert_oox.ReachSafety-Java	jip-e.SV-COMP23_assert_oox.ReachSafety-Java	jip-e.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i2.SV-COMP23_assert_oox.ReachSafety-Java	jip-i2.SV-COMP23_assert_oox.ReachSafety-Java	jip-i2.SV-COMP23_assert_oox.ReachSafety-Java	jip-i2.SV-COMP23_assert_oox.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/SatFibonacci01.yml	true	TIMEOUT (true)	21.114671404	21.116849669000658	3050.610688	true	0.010771904	0.021033839002484456	18.698240	true	0.013140492	0.02384162299858872	18.690048
jayhorn-recursive/UnsatFibonacci01.yml	false	TIMEOUT (true)	21.116288478	21.118600113994034	3118.829568	false	0.019187692	0.028441743001167197	37.007360	false	0.020055982	0.02932272499310784	37.056512
algorithms/BellmanFord-FunSat01.yml	true	true	0.022745091	0.09878991799632786	37.449728	TIMEOUT (true)	21.021264814	21.024136315005308	436.281344	TIMEOUT (true)	21.021337918	21.023821750000934	428.793856
algorithms/BellmanFord-FunUnsat01.yml	false	true	0.021799475	0.09836804399674293	37.396480	false	0.040575134	0.04979301900311839	38.051840	false	0.044019937	0.05332003800140228	38.060032
algorithms/BellmanFord-MemSat01.yml	true	true	0.023719487	0.10049196500040125	37.400576	TIMEOUT (true)	21.021202491	21.02369223900314	423.268352	TIMEOUT (true)	21.021139571	21.02373126700695	423.272448
algorithms/BellmanFord-MemUnsat01.yml	false	true	0.023110235	0.10002187299687648	37.396480	false	0.024683416	0.033890575999976136	37.396480	false	0.024921685	0.03422785700240638	37.355520
algorithms/MergeSortIterative-FunUnsat01.yml	false	TIMEOUT (true)	21.120368202	21.1224020679947	3215.831040	false	0.284896263	0.28526498000428546	50.675712	false	0.266285656	0.2666756889957469	50.712576
algorithms/MergeSortIterative-MemUnsat01.yml	false	unknown	0.022537989	0.02152631899662083	37.257216	false	0.029856537	0.03910914999869419	37.912576	false	0.030399641	0.03970345699781319	37.920768
