tool		Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0
run set		jip.SV-COMP23_assert_oox.ReachSafety-Java	jip.SV-COMP23_assert_oox.ReachSafety-Java	jip.SV-COMP23_assert_oox.ReachSafety-Java	jip.SV-COMP23_assert_oox.ReachSafety-Java	jip-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-a.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-p.SV-COMP23_assert_oox.ReachSafety-Java	jip-p.SV-COMP23_assert_oox.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Addition.yml	true	OUT OF MEMORY (true)	14.144418808	27.59722743500606	4999.999488	TIMEOUT (true)	20.376373099	40.39840834399911	400.982016	TIMEOUT (true)	21.102812987	21.105570057996374	2653.872128	true	0.021648735	0.041828716000054555	37.056512	true	0.02379787	0.0328530580000006	37.138432	TIMEOUT (true)	21.03210515	21.034489937001126	655.241216	TIMEOUT (true)	21.075620433	21.078185821999796	1933.713408
jayhorn-recursive/SatAckermann01.yml	true	OUT OF MEMORY (true)	15.349567441	29.9882763620044	4999.999488	TIMEOUT (true)	20.362003097	40.28337058800025	91.930624	TIMEOUT (true)	21.084050255	21.08683815800032	2077.937664	TIMEOUT (true)	20.352741552	40.52346431499973	86.687744	TIMEOUT (true)	20.440253028	38.775034039000275	73.121792	TIMEOUT (true)	21.027617524	21.03012816500086	557.985792	TIMEOUT (true)	21.104414599	21.10690964600144	2785.955840
jayhorn-recursive/SatAckermann02.yml	true	OUT OF MEMORY (true)	15.392372733	25.087800900997536	4999.999488	TIMEOUT (true)	20.356058131	40.546279645999675	85.159936	TIMEOUT (true)	21.083514073	21.086533773006522	2077.290496	TIMEOUT (true)	20.363693271	40.285578176000854	82.116608	TIMEOUT (true)	20.360831236	40.58724065199931	73.146368	TIMEOUT (true)	21.028931063	21.03140054100004	575.524864	TIMEOUT (true)	21.105363885	21.107724866000353	2828.779520
jayhorn-recursive/SatAckermann03.yml	true	OUT OF MEMORY (true)	15.589056193	30.471161749999737	4999.999488	TIMEOUT (true)	20.360893942	40.357709613001134	84.488192	TIMEOUT (true)	21.083675115	21.08631043400237	2071.891968	TIMEOUT (true)	20.353744048	40.53402134599946	92.602368	TIMEOUT (true)	20.354568674	40.548314941999706	73.109504	TIMEOUT (true)	21.026871005	21.029626524999912	554.074112	TIMEOUT (true)	21.104763834	21.107453484997677	2804.834304
jayhorn-recursive/SatAddition01.yml	true	OUT OF MEMORY (true)	12.777428603	25.573555873997975	4999.999488	TIMEOUT (true)	20.370998551	40.5408818169999	384.131072	TIMEOUT (true)	21.1254251	21.128344356002344	3428.081664	true	0.020400725	0.04572831300083635	36.999168	true	0.020748216	0.04631393999989086	37.076992	true	0.020822603	0.02999171800001932	37.097472	TIMEOUT (true)	21.081838946	21.085075109000172	2150.670336
jayhorn-recursive/SatFibonacci01.yml	true	OUT OF MEMORY (true)	13.988721957	41.63965902500058	4999.999488	TIMEOUT (true)	21.019050999	21.021505176000574	157.089792	true	0.010771904	0.021033839002484456	18.698240	true	0.010795632	0.030044319999433355	18.681856	true	0.021577414	0.04687954700057162	37.134336	true	0.023531055	0.03272066099998483	37.101568	TIMEOUT (true)	21.106732807	21.10857940400092	2901.991424
jayhorn-recursive/SatFibonacci02.yml	true	OUT OF MEMORY (true)	12.340923682	36.54484266399959	4999.999488	true	1.077829292	1.0823175400000764	42.381312	true	0.021434737	0.031886400996882	18.681856	true	0.019215285	0.03887177900014649	18.698240	true	0.020683976	0.04295936000016809	18.698240	true	0.019857068	0.030126921001283335	18.726912	TIMEOUT (true)	21.128798852	21.131058128001314	3216.183296
jayhorn-recursive/SatFibonacci03.yml	true	OUT OF MEMORY (true)	13.660283107	40.61266132300079	4999.999488	TIMEOUT (true)	21.016545814	21.019091772999673	149.995520	TIMEOUT (true)	21.107593128	21.110187397003756	2830.479360	TIMEOUT (true)	20.198323729	37.759745885000484	185.688064	TIMEOUT (true)	20.360389165	40.56752356400011	179.208192	TIMEOUT (true)	21.045929787	21.048819607998666	1011.449856	TIMEOUT (true)	21.11335797	21.115737497999362	2912.784384
