tool		Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5	Jip jip 1.0.5
run set		jip-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-ef-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	0.025323755	0.04797512799996184	37.130240	false	0.022950391	0.032280630999593996	37.003264	false	0.022628135	0.03201564600021811	37.052416	false	0.025065923	0.38145261099998606	46.993408	false	0.022768696	0.0321947850000015	37.101568	false	0.02050616	0.030124651999813068	37.048320	false	0.023299535	0.03246147000027122	37.101568
jayhorn-recursive/Addition.yml	true	TIMEOUT (true)	20.376397863	40.57226785900002	312.258560	TIMEOUT (true)	21.102812987	21.105570057996374	2653.872128	true	0.02379787	0.0328530580000006	37.138432	TIMEOUT (true)	21.017257469	21.065585295000005	2070.134784	TIMEOUT (true)	21.011436632	21.01407064099999	377.200640	TIMEOUT (true)	21.082601201	21.08480178400032	2799.652864	TIMEOUT (true)	21.027049384	21.029630923999775	882.794496
jayhorn-recursive/InfiniteLoop.yml	false	false	0.019366851	0.04460259200004657	37.003264	false	0.019598869	0.028946692000317853	37.003264	false	0.020881581	0.0302291130001322	37.007360	false	0.020221914	0.08066522999990866	37.011456	false	0.019326153	0.02866441300011502	36.970496	false	0.022080961	0.03151948999993692	36.966400	false	0.019483653	0.028705489999993006	36.937728
jayhorn-recursive/SatAckermann01.yml	true	TIMEOUT (true)	20.371859432	40.38078749500073	85.782528	TIMEOUT (true)	21.084050255	21.08683815800032	2077.937664	TIMEOUT (true)	20.440253028	38.775034039000275	73.121792	TIMEOUT (true)	21.04410647	21.04578712500006	1536.073728	TIMEOUT (true)	21.00696411	21.00906953499998	200.790016	TIMEOUT (true)	21.053352965	21.055398290000085	1793.130496	TIMEOUT (true)	21.02870064	21.030816056000276	925.728768
jayhorn-recursive/SatAckermann02.yml	true	TIMEOUT (true)	20.368248256	40.39624947399989	85.807104	TIMEOUT (true)	21.083514073	21.086533773006522	2077.290496	TIMEOUT (true)	20.360831236	40.58724065199931	73.146368	TIMEOUT (true)	21.000803434	21.047223744000007	1521.774592	TIMEOUT (true)	21.007417711	21.009301865999987	201.445376	TIMEOUT (true)	21.053147059	21.05510900199988	1790.930944	TIMEOUT (true)	21.028837328	21.03097361900018	924.172288
jayhorn-recursive/SatAckermann03.yml	true	TIMEOUT (true)	20.365108351	40.405680589999974	83.623936	TIMEOUT (true)	21.083675115	21.08631043400237	2071.891968	TIMEOUT (true)	20.354568674	40.548314941999706	73.109504	TIMEOUT (true)	21.000674951	21.048498152000093	1563.770880	TIMEOUT (true)	21.007153495	21.00931505299991	200.937472	TIMEOUT (true)	21.052939287	21.054931112000304	1775.955968	TIMEOUT (true)	21.03010908	21.03232891699963	936.357888
jayhorn-recursive/SatAddition01.yml	true	TIMEOUT (true)	20.377168207	40.43573217700032	372.310016	TIMEOUT (true)	21.1254251	21.128344356002344	3428.081664	true	0.020748216	0.04631393999989086	37.076992	TIMEOUT (true)	21.080185572	21.082348475999993	2728.235008	TIMEOUT (true)	21.011533609	21.01412658000004	374.882304	TIMEOUT (true)	21.082207394	21.084303138999985	2791.886848	TIMEOUT (true)	21.028201092	21.0308968559998	919.937024
jayhorn-recursive/SatEvenOdd01.yml	true	TIMEOUT (true)	20.376159142	40.51415084300061	405.499904	TIMEOUT (true)	21.030628125	21.033391563003534	651.694080	TIMEOUT (true)	20.382833655	40.47448184800032	608.780288	TIMEOUT (true)	21.019281043	21.02178691100005	652.943360	TIMEOUT (true)	21.011475812	21.01401529000009	376.389632	TIMEOUT (true)	21.021163115	21.02360291900004	702.619648	TIMEOUT (true)	21.029211269	21.031878087999758	949.039104
